V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29,Class
-2.3122265423000004,1.9519920106,-1.6098507323,3.9979055875,-0.5221878647000001,-1.4265453192,-2.5373873062,1.3916572483,-2.7700892772000003,-2.7722721447000005,3.2020332071000004,-2.899907388500001,-0.5952218813,-4.2892537824,0.3897241203,-1.1407471798,-2.8300556744999996,-0.0168224682,0.416955705,0.1269105591,0.5172323709000001,-0.0350493686,-0.4652110762,0.32019819850000003,0.0445191675,0.1778397983,0.2611450026,-0.14327587470000003,-0.35322939296682354,1
-3.043540624,-3.1573071208999997,1.08846278,2.2886436184,1.3598051297,-1.064822523,0.3255742662,-0.0677936532,-0.2709528362,-0.8385865645999999,-0.4145754483,-0.5031408596,0.6765015445999999,-1.6920289331,2.0006348391,0.6667796959000001,0.5997174138,1.7253210075,0.2833448301,2.1023387926,0.6616959248,0.435477209,1.3759657425,-0.2938031527,0.2797980318,-0.1453617148,-0.2527731225,0.0357642252,1.761758203626355,1
-2.3033495676,1.7592474603,-0.3597447433,2.3302430504999996,-0.8216283284,-0.07578757059999999,0.5623197823000001,-0.3991465785,-0.2382533677,-1.5254116266,2.0329121576,-6.5601242951,0.0229373235,-1.4701015361,-0.6988260686,-2.2821938286,-4.781830856,-2.6156649448,-1.3344410667,-0.4300218672,-0.2941663176,-0.9323910573,0.17272629579999998,-0.08732953800000001,-0.1561142647,-0.542627889,0.0395659889,-0.1530287965,0.6060314275447101,1
-4.3979744417,1.3583670284,-2.5928442183000002,2.6797869668999996,-1.1281309420999999,-1.7065363877,-3.496197293,-0.248777743,-0.2477678995,-4.801637406,4.8958442235,-10.9128193194,0.1843716858,-6.7710967247,-0.0073261826,-7.3580832213,-12.5984185406,-5.1315486284,0.3083339458,-0.17160787859999999,0.5735740684,0.176967718,-0.4362068836,-0.0535018649,0.252405262,-0.6574877548,-0.8271357145999999,0.84957338,-0.11734230752448414,1
1.2342350461,3.0197404207000003,-4.3045968848,4.7327951304,3.6242008306,-1.3577456632,1.7134449879,-0.4963584871000001,-1.2828578204,-2.4474692551000006,2.101343865,-4.6096283906,1.4643776248,-6.0793371931,-0.33923737270000004,2.5818509538,6.7393843848,3.0424931783000004,-2.7218531222,0.0090608364,-0.3790683071,-0.7041810322,-0.6568047563,-1.6326529569,1.4889014484,0.5667972735000001,-0.0100162235,0.1467927349,-0.34923130677288566,1
0.008430364899999999,4.137836835,-6.240696571900002,6.675732163099998,0.7683070246,-3.3530595479000005,-1.6317346727,0.1546124482,-2.7958924644999996,-6.1878906297,5.664394708600001,-9.8544848229,-0.3061666583,-10.6911962118,-0.6384981927000001,-2.0419737911,-1.129055877,0.1164525212,-1.9346657389,0.4883782211000001,0.3645142098,-0.6080571338,-0.5395279418,0.128939983,1.4884812101,0.5079626778,0.7358216361,0.5135737407000001,-0.34923130677288566,1
0.0267792264,4.1324638971,-6.560599968099998,6.348556673099999,1.329665669,-2.5134788476,-1.6891022003,0.30325280050000003,-3.1394090574,-6.045467797799999,6.7546254481,-8.9481785789,0.7027249981,-10.7338541032,-1.3795198568000002,-1.6389601149,-1.7463501363,0.7767440979000001,-1.3273566355,0.587743219,0.3705086515,-0.5767524732,-0.6696053718,-0.7599075295,1.6050555502,0.5406753964,0.7370403816999999,0.4966991082,-0.34923130677288566,1
0.3295943333,3.7128892952,-5.7759351083000015,6.078265505599999,1.6673590131,-2.4201684135000003,-0.8128912495,0.133080118,-2.214311312,-5.1344544711,4.5607201055,-8.8737483616,-0.7974835995999999,-9.1771663701,-0.2570247751,-0.8716884904999999,1.3130136290999999,0.7739138726000001,-2.3705994506,0.269772776,0.1566171694,-0.6524504409,-0.5515722194,-0.7165216354,1.4157166150999998,0.5552647398,0.5305073888999999,0.4044740545,-0.34923130677288566,1
0.3164590004,3.8090759467,-5.6151590112,6.047445102200001,1.5540259569,-2.651353112,-0.7465792731,0.0555863113,-2.6786785422,-4.9594929116,6.439053351599999,-7.520117392899999,0.3863516674,-9.2523072475,-1.365188415,-0.5023621906,0.7844265981999999,1.4943046074,-1.8080121587,0.3883074282,0.208828369,-0.5117466192,-0.5838132208,-0.2198450291,1.4747525844,0.4911919256999999,0.5188682846,0.4025280677,-0.34923130677288566,1
0.7256457398,2.3008944378,-5.329976183000001,4.0076828047,-1.7304105903,-1.7321925682,-3.9685926181,1.0637281534,-0.4860965523000001,-4.6249849541,5.5887239147,-7.1482426364,1.680450741,-6.210257746599999,0.4952821178,-3.5995402092,-4.8303242421,-0.6490901202,2.2501232488,0.5046462260999999,0.5896691273,0.1095413192,0.6010452765,-0.3647002782,-1.8430776922,0.3519092984,0.5945499781,0.099372236,-0.34923130677288566,1
0.7027099001,2.426432806,-5.234513295800001,4.4166612429,-2.1708062159,-2.6675535612,-3.8780884548,0.9113371222,-0.1661990392,-5.0092485021,4.6757294187,-8.1671880517,0.6385592822,-6.763334390599999,1.2968602561000002,-3.8117584098,-3.7541280662,-1.0491774023,1.5541972634999999,0.4227431292,0.5511796890999999,-0.009802357300000003,0.7216982301,0.4732457514,-1.9593037712,0.3194755401,0.6004849165,0.1293052251,-0.34923130677288566,1
1.0238738685,2.0014852663,-4.769751832199999,3.8191945854,-1.2717542274000002,-1.7346624268,-3.0592450316,0.889804792,0.4153821132,-3.9558123435,3.5720548156,-7.1864515905,0.1472423408,-5.2493045489,1.6783336736,-2.6414731092,-1.3120585601,-0.391716051,1.1182635518,0.204137684,0.3432826487,-0.0541956644,0.7096539525,-0.3722158669,-2.0320683661000003,0.3667776021,0.3951706693,0.0202055389,-0.34923130677288566,1
-1.5855053668999999,3.2615845482,-4.1374219831,2.357096252,-1.4050433137,-1.8794371931,-3.513686870899999,1.5156067457,-1.2071663612,-6.2345613323,5.450746066900001,-7.3337140674,1.3611933241,-6.608068252200002,-0.4810694248999999,-2.6024778704999996,-4.8351120524,-0.5530260891000001,0.35194894340000005,0.3159572589,0.5015431495000001,-0.5468688116,-0.0765836359,-0.4255503668,0.1236441864,0.3219845393,0.2640281605,0.1328167198,-0.34923130677288566,1
-1.7832288372,3.4027937131000003,-3.8227422655,2.6253681528,-1.9764154114,-2.7316890123000004,-3.4305591495000005,1.413203514,-0.7769414946,-6.1998817627,4.3667134863,-8.2432624337,0.34576116520000005,-6.5905502971,0.2655760959,-3.0284523885000008,-4.2144862749,-1.2136078476999999,-0.2654215954,0.364089115,0.4540319317,-0.5775258242,0.0459665375,0.4617000176,0.0441461612,0.3057044339,0.5309809863000001,0.2437455981,-0.34923130677288566,1
0.8573210038,4.093911827,-7.4238935895,7.3802445179,0.9733660229,-2.7307615166000003,-1.4964970563,0.5430151727000001,-2.3511901592999997,-3.9442384979,6.355077736599998,-7.3097479838,0.7484505506,-9.0579925294,-0.6489449090999999,-1.0731165269,1.5245009153,1.8313635328,-0.08972441119999999,0.4833026504999999,0.3750262851,0.1453998533,0.240603265,-0.2346492227,-1.0048809472,0.4358319162,0.6183238052000001,0.1484689444,-0.34923130677288566,1
-1.8132804848,4.917850710599999,-5.926129694,5.7015004313999995,1.2043925721,-3.0351375482,-1.7134020635,0.5612573908999999,-3.7963542517,-7.4548406508,7.3880551229,-10.4752286504,-0.3793145268,-11.736729121299998,-2.0869889522,-2.4423539828999994,-3.5355235116999997,0.1303603066,-2.0714504884,0.5766560333,0.6156418351,-0.4064272753,-0.7370180764,-0.2796417722,1.1067663744,0.3238854777,0.8947666715000001,0.5695186003000001,-0.34923130677288566,1
-0.2514709601,4.3135233258,-6.8914377165,6.796796680599998,0.6162965053,-2.9663265419000004,-2.4366525268999997,0.4893278988,-3.3716385716,-6.810813099400002,7.6200890584,-10.2852825163,-0.3424443341,-11.5434979158,-1.3349879033,-2.6892842044999994,-3.204383403,0.0865218957,-1.3144950967,0.6327099638,0.5368920744,-0.5461260236999999,-0.6052395476,-0.2637434596,1.5399158308,0.5235736967000001,0.8910246884,0.5727406664999999,-0.34923130677288566,1
0.3145965897,2.6606702766,-5.9200373803,4.5224996051,-2.3150272862,-2.2783516539,-4.6840539363,1.2022702652,-0.6946955112000001,-5.5262780599,6.662436830700002,-8.525464925299998,0.7427454469,-7.6786680103,0.5930704591,-4.4781365953,-5.844266479400002,-1.1027307946,2.1773856865,0.5627056433,0.7433140234,0.0640383556,0.6778416753000001,0.08300782269999998,-1.9110344638,0.3221883984,0.6208665388,0.1850303547,-0.34923130677288566,1
0.4473955533,2.4819538664,-5.660813931399999,4.4559228121,-2.443779754,-2.1850402625,-4.7161429447,1.2498032517,-0.7183260666,-5.3903302557,6.4541875249,-8.485346573799998,0.6352814088000001,-7.019901559199999,0.5398140712999999,-4.6498642988,-6.2883575088,-1.3393123223999999,2.2629847876,0.5496129709,0.7560525502999998,0.1401677687,0.6654111007,0.1314637917,-1.9082174115,0.3348075987,0.7485342848,0.1754137944,-0.34923130677288566,1
-2.1699289756,3.6396539992,-4.5084977862,2.7306681488,-2.1226928705000003,-2.3410168277000003,-4.2352530829,1.7035376575999999,-1.3052791334,-6.7167200227,6.3536123192,-8.601648262799998,0.4499300382,-7.506169374099998,-0.4380817818,-3.6945159983,-6.304753386000001,-1.2675871279,0.3579870305,0.500779054,0.6451032756,-0.5035294489,-0.0005228218,0.0716957788,0.0920074334,0.3084979316,0.5525909147000001,0.2989544787,-0.34923130677288566,1
-1.8637555534,3.4426439768,-4.4682597315,2.8053362594,-2.1184124775,-2.3322848872999997,-4.2612371974,1.701681844,-1.4393958754,-6.9999066339,6.316209677200001,-8.670818004800001,0.3160239919,-7.4177120648,-0.4365374714,-3.65280196,-6.2931453191,-1.2432482913,0.3648104822,0.3609240037,0.6679265724,-0.5162423620999999,-0.0122178117,0.0706137031,0.058504467,0.3048828396,0.4180124672,0.2088582781,-0.34923130677288566,1
-4.617217204199999,1.6956936535,-3.1143722008,4.328198553,-1.8732569909,-0.9899081355,-4.5772646266,0.4722161584999999,0.4720169534000001,-5.5760226364,4.8023227613,-10.8331644693,0.1043038757,-9.4054230616,-0.8074778687,-7.5523422035,-9.8025617904,-4.120628834700001,1.7405072903999999,-0.0390459343,0.4818296972,0.1460230564,0.1170385275,-0.2175645988,-0.1387760437,-0.4244528811,-1.002041426,0.8907802879999999,-0.34883149815349185,1
-2.6618021746,5.8563932148,-7.6536162132,6.379741880499998,-0.0607121191,-3.1315497315000003,-3.1035697455,1.7784915694999999,-3.8311537162,-7.191604246200001,7.1029885879,-9.928699943,-0.0674983775,-10.9241868651,-1.6979139771,-2.3794209852999995,-2.775113897,0.2737989713,-1.3821875635,0.3990968603,0.7347749504,-0.4359011819,-0.3847659042,-0.2860156638,1.0079338237,0.4131955325,0.2802841569,0.3039365506,-0.34923130677288566,1
-2.5358521174,5.7936441469,-7.6184628357,6.3958297465,-0.0652101047,-3.1363719640999994,-3.1045573626,1.8232326376,-3.8786575802,-7.297803349999999,7.0716691368,-10.0010463683,-0.2079345409,-10.8606980454,-1.6908250412,-2.3608567240999996,-2.7600970152999995,0.2981034156,-1.3855578016999999,0.4087041845,0.7167199070999999,-0.4480599385,-0.4024068787,-0.2888352226,1.0117522395999998,0.4259646214,0.4131395558,0.308204657,-0.34923130677288566,1
-3.4991075374,0.2585551608,-4.4895580727,4.853894351399999,-6.9745215448,3.6283820907,5.4312709207,-1.9467337108,-0.7756800929,-1.9877731876,4.6903956655,-6.9980424321,1.4540119863999998,-3.7380233337,0.31774206260000004,-2.0135426808,-5.1361351027,-1.1838221165,1.6633940135,-3.0426257572,-1.0523682562,0.2048168736,-2.1190074401,0.1702786083,-0.3938441181,0.2963671945,1.985913218,-0.9004516384,6.882027230478816,1
-2.125489826,5.9735556917,-11.0347272274,9.0071468717,-1.689450534,-2.8544152854,-7.810440745299998,2.030869946,-5.902828122100001,-12.840933818100002,12.0189131816,-17.769143463399995,-0.4310356582,-19.2143254903,-0.9624645747,-10.266609183700002,-15.5033921001,-5.4949276425,-0.4104809774,1.4937746455,1.6465182927,-0.2784845108,-0.664841294,-1.1645553694,1.7017964134999999,0.6908056147,2.1197487334,1.1089334033,-0.34923130677288566,1
